@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE game-result {t1,t2}

@Data
home,0.75,24.9,20.5,17.0,6.0,12.0,4.0,12.0,4.4,away,0.6,25.1,19.6,12.0,5.0,8.0,9.0,26.0,5.5,t2
home,0.5625,22.4,21.0,4.0,15.0,14.0,28.0,18.0,1.4,away,0.625,21.8,19.6,-5.0,17.0,7.0,29.0,19.0,2.3,t1
away,0.625,21.8,19.6,-5.0,17.0,7.0,29.0,19.0,2.3,home,0.5625,22.4,21.0,4.0,15.0,14.0,28.0,18.0,1.4,t2
home,0.6666666666666666,24.4,21.6,0.0,8.0,16.0,20.0,9.0,2.8,away,0.5625,21.5,20.0,-2.0,19.0,10.0,10.0,20.0,1.5,t1
away,0.5625,21.5,20.0,-2.0,19.0,10.0,10.0,20.0,1.5,home,0.6666666666666666,24.4,21.6,0.0,8.0,16.0,20.0,9.0,2.8,t2
home,0.625,22.9,21.9,10.0,13.0,18.0,18.0,24.0,1.0,away,0.625,20.0,17.4,-2.0,22.0,3.0,24.0,28.0,2.6,t1
away,0.625,20.0,17.4,-2.0,22.0,3.0,24.0,28.0,2.6,home,0.625,22.9,21.9,10.0,13.0,18.0,18.0,24.0,1.0,t2
home,0.6875,22.9,20.3,4.0,14.0,11.0,27.0,32.0,2.7,away,0.6666666666666666,24.4,21.6,0.0,8.0,16.0,20.0,9.0,2.8,t1
away,0.6666666666666666,24.4,21.6,0.0,8.0,16.0,20.0,9.0,2.8,home,0.6875,22.9,20.3,4.0,14.0,11.0,27.0,32.0,2.7,t2
home,0.75,25.9,15.1,14.0,4.0,2.0,6.0,21.0,10.9,away,0.6,25.1,19.6,12.0,5.0,8.0,9.0,26.0,5.5,t1
away,0.6,25.1,19.6,12.0,5.0,8.0,9.0,26.0,5.5,home,0.75,25.9,15.1,14.0,4.0,2.0,6.0,21.0,10.9,t2
home,0.6875,28.1,19.0,12.0,2.0,6.0,15.0,29.0,9.1,away,0.5625,22.4,21.0,4.0,15.0,14.0,28.0,18.0,1.4,t1
away,0.5625,22.4,21.0,4.0,15.0,14.0,28.0,18.0,1.4,home,0.6875,28.1,19.0,12.0,2.0,6.0,15.0,29.0,9.1,t2
home,0.75,21.6,12.3,17.0,18.0,1.0,1.0,31.0,9.4,away,0.625,22.9,21.9,10.0,13.0,18.0,18.0,24.0,1.0,t1
away,0.625,22.9,21.9,10.0,13.0,18.0,18.0,24.0,1.0,home,0.75,21.6,12.3,17.0,18.0,1.0,1.0,31.0,9.4,t2
home,0.6875,28.1,19.0,12.0,2.0,6.0,15.0,29.0,9.1,away,0.6875,22.9,20.3,4.0,14.0,11.0,27.0,32.0,2.7,t1
away,0.6875,22.9,20.3,4.0,14.0,11.0,27.0,32.0,2.7,home,0.6875,28.1,19.0,12.0,2.0,6.0,15.0,29.0,9.1,t2
away,0.75,21.6,12.3,17.0,18.0,1.0,1.0,31.0,9.4,home,0.75,25.9,15.1,14.0,4.0,2.0,6.0,21.0,10.9,t1
home,0.75,25.9,15.1,14.0,4.0,2.0,6.0,21.0,10.9,away,0.75,21.6,12.3,17.0,18.0,1.0,1.0,31.0,9.4,t2
away,0.75,21.6,12.3,17.0,18.0,1.0,1.0,31.0,9.4,away,0.6875,28.1,19.0,12.0,2.0,6.0,15.0,29.0,9.1,t1
away,0.6875,28.1,19.0,12.0,2.0,6.0,15.0,29.0,9.1,away,0.75,21.6,12.3,17.0,18.0,1.0,1.0,31.0,9.4,t2
home,0.6875,20.3,19.0,-5.0,15.0,10.0,8.0,17.0,-2.2,away,0.625,18.1,16.3,-4.0,21.0,2.0,4.0,9.0,-2.3,t1
away,0.625,18.1,16.3,-4.0,21.0,2.0,4.0,9.0,-2.3,home,0.6875,20.3,19.0,-5.0,15.0,10.0,8.0,17.0,-2.2,t2
away,0.75,27.2,20.3,13.0,5.0,13.0,5.0,16.0,-0.5,home,0.625,24.4,17.6,3.0,8.0,6.0,1.0,11.0,-0.6,t1
home,0.625,24.4,17.6,3.0,8.0,6.0,1.0,11.0,-0.6,away,0.75,27.2,20.3,13.0,5.0,13.0,5.0,16.0,-0.5,t2
home,0.75,27.9,21.0,10.0,3.0,20.0,16.0,28.0,0.0,away,0.625,23.8,18.8,-4.0,10.0,9.0,21.0,24.0,0.5,t1
away,0.625,23.8,18.8,-4.0,10.0,9.0,21.0,24.0,0.5,home,0.75,27.9,21.0,10.0,3.0,20.0,16.0,28.0,0.0,t2
home,0.625,27.6,19.2,0.0,4.0,11.0,10.0,23.0,-0.3,away,0.625,25.3,20.4,-1.0,7.0,15.0,11.0,25.0,-0.7,t1
away,0.625,25.3,20.4,-1.0,7.0,15.0,11.0,25.0,-0.7,home,0.625,27.6,19.2,0.0,4.0,11.0,10.0,23.0,-0.3,t2
home,0.875,21.8,14.9,17.0,12.0,1.0,2.0,10.0,0.1,away,0.75,27.2,20.3,13.0,5.0,13.0,5.0,16.0,-0.5,t1
away,0.75,27.2,20.3,13.0,5.0,13.0,5.0,16.0,-0.5,home,0.875,21.8,14.9,17.0,12.0,1.0,2.0,10.0,0.1,t2
away,0.6875,20.3,19.0,-5.0,15.0,10.0,8.0,17.0,-2.2,home,0.75,27.9,20.5,7.0,2.0,17.0,12.0,12.0,-1.6,t1
